clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
041,2027-02-05,viernes,06:55,55,II,21,,,,,,,clases/semana-21
042,2027-02-09,martes,13:00,40,II,22,,,,,,,clases/semana-22
043,2027-02-12,viernes,06:55,55,II,22,,,,,,,clases/semana-22
044,2027-02-16,martes,13:00,40,II,23,,,,,,,clases/semana-23
045,2027-02-19,viernes,06:55,55,II,23,,,,,,,clases/semana-23
046,2027-02-23,martes,13:00,40,II,24,,,,,,,clases/semana-24
047,2027-02-26,viernes,06:55,55,II,24,,,,,,,clases/semana-24
048,2027-03-02,martes,13:00,40,II,25,,,,,,,clases/semana-25
049,2027-03-05,viernes,06:55,55,II,25,,,,,,,clases/semana-25
050,2027-03-09,martes,13:00,40,II,26,,,,,,,clases/semana-26
051,2027-03-12,viernes,06:55,55,II,26,,,,,,,clases/semana-26
052,2027-03-16,martes,13:00,40,III,27,,,,,,,clases/semana-27
053,2027-03-19,viernes,06:55,55,III,27,,,,,,,clases/semana-27
054,2027-03-30,martes,13:00,40,III,28,,,,,,,clases/semana-28
055,2027-04-02,viernes,06:55,55,III,28,,,,,,,clases/semana-28
056,2027-04-06,martes,13:00,40,III,29,,,,,,,clases/semana-29
057,2027-04-09,viernes,06:55,55,III,29,,,,,,,clases/semana-29
058,2027-04-13,martes,13:00,40,III,30,,,,,,,clases/semana-30
059,2027-04-16,viernes,06:55,55,III,30,,,,,,,clases/semana-30
060,2027-04-20,martes,13:00,40,III,31,,,,,,,clases/semana-31
061,2027-04-23,viernes,06:55,55,III,31,,,,,,,clases/semana-31
062,2027-04-27,martes,13:00,40,III,32,,,,,,,clases/semana-32
063,2027-04-30,viernes,06:55,55,III,32,,,,,,,clases/semana-32
064,2027-05-04,martes,13:00,40,III,33,,,,,,,clases/semana-33
065,2027-05-07,viernes,06:55,55,III,33,,,,,,,clases/semana-33
066,2027-05-11,martes,13:00,40,III,34,,,,,,,clases/semana-34
067,2027-05-14,viernes,06:55,55,III,34,,,,,,,clases/semana-34
068,2027-05-18,martes,13:00,40,III,35,,,,,,,clases/semana-35
069,2027-05-21,viernes,06:55,55,III,35,,,,,,,clases/semana-35
070,2027-05-25,martes,13:00,40,III,36,,,,,,,clases/semana-36
071,2027-05-28,viernes,06:55,55,III,36,,,,,,,clases/semana-36
072,2027-06-01,martes,13:00,40,III,37,,,,,,,clases/semana-37
073,2027-06-04,viernes,06:55,55,III,37,,,,,,,clases/semana-37
074,2027-06-08,martes,13:00,40,III,38,,,,,,,clases/semana-38
075,2027-06-11,viernes,06:55,55,III,38,,,,,,,clases/semana-38
076,2027-06-15,martes,13:00,40,III,39,,,,,,,clases/semana-39
077,2027-06-18,viernes,06:55,55,III,39,,,,,,,clases/semana-39
078,2027-06-22,martes,13:00,40,III,40,,,,,,,clases/semana-40
079,2027-06-25,viernes,06:55,55,III,40,,,,,,,clases/semana-40
