clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-08-14,viernes,13:00,40,I,02,,,,,,,clases/semana-02
002,2026-08-21,viernes,13:00,40,I,03,,,,,,,clases/semana-03
003,2026-08-28,viernes,13:00,40,I,04,,,,,,,clases/semana-04
004,2026-09-04,viernes,13:00,40,I,05,,,,,,,clases/semana-05
005,2026-09-11,viernes,13:00,40,I,06,,,,,,,clases/semana-06
006,2026-09-18,viernes,13:00,40,I,07,,,,,,,clases/semana-07
007,2026-09-25,viernes,13:00,40,I,08,,,,,,,clases/semana-08
008,2026-10-02,viernes,13:00,40,I,09,,,,,,,clases/semana-09
009,2026-10-09,viernes,13:00,40,I,10,,,,,,,clases/semana-10
010,2026-10-23,viernes,13:00,40,I,11,,,,,,,clases/semana-11
011,2026-10-30,viernes,13:00,40,I,12,,,,,,,clases/semana-12
012,2026-11-06,viernes,13:00,40,I,13,,,,,,,clases/semana-13
013,2026-11-13,viernes,13:00,40,II,14,,,,,,,clases/semana-14
014,2026-11-20,viernes,13:00,40,II,15,,,,,,,clases/semana-15
015,2026-11-27,viernes,13:00,40,II,16,,,,,,,clases/semana-16
016,2026-12-04,viernes,13:00,40,II,17,,,,,,,clases/semana-17
017,2027-01-15,viernes,13:00,40,II,18,,,,,,,clases/semana-18
018,2027-01-22,viernes,13:00,40,II,19,,,,,,,clases/semana-19
019,2027-01-29,viernes,13:00,40,II,20,,,,,,,clases/semana-20
020,2027-02-05,viernes,13:00,40,II,21,,,,,,,clases/semana-21
021,2027-02-12,viernes,13:00,40,II,22,,,,,,,clases/semana-22
022,2027-02-19,viernes,13:00,40,II,23,,,,,,,clases/semana-23
023,2027-02-26,viernes,13:00,40,II,24,,,,,,,clases/semana-24
024,2027-03-05,viernes,13:00,40,II,25,,,,,,,clases/semana-25
025,2027-03-12,viernes,13:00,40,II,26,,,,,,,clases/semana-26
026,2027-03-19,viernes,13:00,40,III,27,,,,,,,clases/semana-27
027,2027-04-02,viernes,13:00,40,III,28,,,,,,,clases/semana-28
028,2027-04-09,viernes,13:00,40,III,29,,,,,,,clases/semana-29
029,2027-04-16,viernes,13:00,40,III,30,,,,,,,clases/semana-30
030,2027-04-23,viernes,13:00,40,III,31,,,,,,,clases/semana-31
031,2027-04-30,viernes,13:00,40,III,32,,,,,,,clases/semana-32
032,2027-05-07,viernes,13:00,40,III,33,,,,,,,clases/semana-33
033,2027-05-14,viernes,13:00,40,III,34,,,,,,,clases/semana-34
034,2027-05-21,viernes,13:00,40,III,35,,,,,,,clases/semana-35
035,2027-05-28,viernes,13:00,40,III,36,,,,,,,clases/semana-36
036,2027-06-04,viernes,13:00,40,III,37,,,,,,,clases/semana-37
037,2027-06-11,viernes,13:00,40,III,38,,,,,,,clases/semana-38
038,2027-06-18,viernes,13:00,40,III,39,,,,,,,clases/semana-39
039,2027-06-25,viernes,13:00,40,III,40,,,,,,,clases/semana-40
